Experiment/Config,Modules,Seed,Epochs,Best_P,Best_R,Best_mAP50,Best_mAP50-95,Final_P,Final_R,Final_mAP50,Final_mAP50-95,Log
RT-DETR-R18 Baseline,No added module (baseline),0,150,0.868,0.825,0.83,0.486,0.866,0.825,0.83,0.486,train_log/RT-DETR-R18/train_rtdetr_r18_Baseline-epoch150-Seed0.log
RT-DETR-R18 Baseline,No added module (baseline),1,150,0.912,0.8,0.81,0.491,0.911,0.801,0.81,0.491,train_log/RT-DETR-R18/train_rtdetr_r18_Baseline-epoch150-Seed1.log
RT-DETR-R18 Baseline,No added module (baseline),-,100,0.884,0.814,0.831,0.489,0.877,0.819,0.832,0.489,train_log/RT-DETR-R18/train_r18.log
RT-DETR-R18 Baseline,No added module (baseline),-,100,0.901,0.798,0.827,0.492,0.903,0.797,0.827,0.492,train_log/RT-DETR-R18/train_rtdetr_r18_2.log
MSA-SODAttention-Original,MSAOriginalSODAttention,0,150,0.897,0.818,0.839,0.501,0.898,0.818,0.84,0.501,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-Original-epoch150-Seed0.log
MSA-SODAttention-Original,MSAOriginalSODAttention,1,150,0.898,0.823,0.844,0.494,0.899,0.823,0.844,0.494,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-Original-epoch150-Seed1.log
MSA-SODAttention-Original,MSAOriginalSODAttention,2,150,0.886,0.82,0.831,0.497,0.884,0.817,0.83,0.497,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-Original-epoch150-Seed2.log
BCR beta=0.10,BCRSODAttention(beta=0.10),0,150,0.87,0.818,0.83,0.499,0.881,0.811,0.83,0.499,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-BCR-epoch150-Seed0.log
BCR beta=0.10,BCRSODAttention(beta=0.10),1,150,0.887,0.832,0.845,0.5,0.891,0.832,0.847,0.5,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-BCR-epoch150-Seed1.log
BCR beta=0.10,BCRSODAttention(beta=0.10),2,150,0.897,0.808,0.827,0.501,0.897,0.809,0.827,0.501,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-BCR-epoch150-Seed2.log
BCR beta=0.05,BCRSODAttention(beta=0.05),0,150,0.912,0.796,0.833,0.502,0.912,0.795,0.834,0.502,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-BCR-beta005-epoch150-Seed0.log
BCR beta=0.05,BCRSODAttention(beta=0.05),1,150,0.925,0.787,0.816,0.488,0.921,0.789,0.817,0.488,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-BCR-beta005-epoch150-Seed1.log
BCR beta=0.05,BCRSODAttention(beta=0.05),2,150,0.888,0.813,0.832,0.495,0.901,0.811,0.837,0.495,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-BCR-beta005-epoch150-Seed2.log
BCR beta=0.20,BCRSODAttention(beta=0.20),0,150,0.881,0.83,0.847,0.492,0.89,0.825,0.847,0.492,train_log/MSA-DETR/train_rtdetr_r18_MSA-SODAttention-BCR-beta020-epoch150-Seed0.log
BCR-DySample,BCRSODAttention + DySample,0,150,0.906,0.816,0.842,0.5,0.906,0.816,0.842,0.5,train_log/BCR-RTDETR/train_rtdetr_r18_BCR-DySample-epoch150-Seed0.log
BCR-DySample,BCRSODAttention + DySample,1,150,0.921,0.777,0.818,0.49,0.926,0.775,0.82,0.489,train_log/BCR-RTDETR/train_rtdetr_r18_BCR-DySample-epoch150-Seed1.log
BCR-DySample,BCRSODAttention + DySample,2,150,0.902,0.799,0.826,0.502,0.902,0.799,0.826,0.502,train_log/BCR-RTDETR/train_rtdetr_r18_BCR-DySample-epoch150-Seed2.log
BCR-SPDDownsample,BCRSODAttention + SPDDownsample,0,150,0.916,0.811,0.813,0.493,0.916,0.811,0.813,0.493,train_log/BCR-RTDETR/train_rtdetr_r18_BCR-SPDDownsample-epoch150-Seed0.log
SODGA,SODGuidedAttention,1,100,0.888,0.816,0.819,0.481,0.889,0.815,0.819,0.48,train_log/Other/train_rtdetr_r18_SODGA_seed1.log
SODGA,SODGuidedAttention,-,100,0.894,0.813,0.831,0.485,0.894,0.813,0.831,0.485,train_log/Other/train_rtdetr_r18_MSPConv-SODGA.log
SODGA,SODGuidedAttention,-,100,0.893,0.835,0.843,0.507,0.892,0.835,0.844,0.507,train_log/Other/train_rtdetr_r18_SODGA.log
SODGA,SODGuidedAttention,-,100,0.903,0.812,0.833,0.491,0.904,0.813,0.833,0.491,train_log/Other/train_rtdetr_r18_SODGA_2.log
SODGA,SODGuidedAttention,-,100,0.901,0.805,0.822,0.483,0.901,0.806,0.821,0.483,train_log/Other/train_rtdetr_r18_SODGA_3.log
SODGA-CAFM,SODGuidedAttention + CAFM,-,100,0.887,0.814,0.822,0.479,0.874,0.819,0.825,0.479,train_log/Other/train_rtdetr_r18_SODGA-CAFM.log
SODGA-Calib,SODGuidedAttention + calibration,0,150,0.897,0.811,0.818,0.497,0.897,0.811,0.818,0.497,train_log/MSA-DETR/train_rtdetr_r18_SODGA-Calib-epoch150-Seed0.log
SODGA-Calib,SODGuidedAttention + calibration,1,150,0.89,0.792,0.813,0.482,0.89,0.792,0.813,0.482,train_log/MSA-DETR/train_rtdetr_r18_SODGA-Calib-epoch150-Seed1.log
SODGA-P2Detail,SODGuidedAttention + P2Detail,-,100,0.889,0.805,0.817,0.492,0.89,0.805,0.817,0.492,train_log/Other/train_rtdetr_r18_SODGA-P2Detail.log
SODGA-Stable,SODGuidedAttentionStable,-,100,0.915,0.803,0.827,0.485,0.915,0.803,0.828,0.485,train_log/Other/train_rtdetr_r18_SODGA-Stable.log
DySample,DySample,-,100,0.902,0.8,0.827,0.491,0.901,0.8,0.827,0.491,train_log/Other/train_rtdetr_r18_DySample.log
H2Net,H2Net modules,0,150,0.902,0.82,0.84,0.506,0.893,0.821,0.837,0.506,train_log/H2Net/H2Net_epoch150-Seed0.log
H2Net,H2Net modules,-,100,0.914,0.817,0.837,0.494,0.914,0.817,0.837,0.494,train_log/H2Net/H2Net.log
H2Net,H2Net modules,-,100,0.908,0.799,0.817,0.492,0.904,0.8,0.817,0.491,train_log/H2Net/train_H2Net_2.log
HEMS-CSPMSEIE,CSPMSEIE / HEMS module,-,100,0.891,0.801,0.822,0.497,0.89,0.802,0.822,0.497,train_log/Other/train_rtdetr_r18_HEMS-CSPMSEIE.log
HFPG,HighFrequencyPriorGuidance,-,100,0.898,0.803,0.822,0.496,0.897,0.803,0.822,0.496,train_log/Other/train_rtdetr_r18_HFPG.log
IRS-PSConv,PSConv,0,150,0.907,0.811,0.826,0.478,0.913,0.807,0.826,0.478,train_log/IRS-DETR/train_rtdetr_r18_RT-DETR-R18-IRS-PSConv_epoch150-Seed0.log
MSAInnov,MSAInnov,-,100,0.883,0.81,0.824,0.484,0.882,0.81,0.824,0.484,train_log/MSA-DETR/train_rtdetr_r18_MSAInnov.log
MSAInnov-P2Decoder,MSAInnov + P2 decoder branch,-,100,0.879,0.824,0.831,0.505,0.879,0.823,0.831,0.505,train_log/MSA-DETR/train_rtdetr_r18_MSAInnov-P2Decoder.log
MSFFFE,MSFFFE,-,100,0.914,0.78,0.817,0.474,0.915,0.78,0.817,0.474,train_log/Other/train_rtdetr_r18_msfffe.log
MSPConv,MSPConv,-,100,0.891,0.817,0.834,0.5,0.89,0.817,0.834,0.5,train_log/Other/train_rtdetr_r18_MSPConv.log
P2Detail,P2Detail module,-,100,0.915,0.815,0.844,0.498,0.914,0.816,0.844,0.498,train_log/Other/train_rtdetr_r18_P2Detail.log
